"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"group_1128","yejK","","1","1","1","1","910","1","136","","1016","1016","1016","NNL25_RS20955","","",""
"NNL25_RS20965","","","1","1","1","1","904","1","164","","1733","1733","1733","NNL25_RS20965","","",""
"NNL25_RS20970","","","1","1","1","1","903","1","165","","755","755","755","NNL25_RS20970","","",""
"NNL25_RS20975","","","1","1","1","1","902","1","166","","1325","1325","1325","NNL25_RS20975","","",""
"NNL25_RS20980","","","1","1","1","1","901","1","167","","251","251","251","NNL25_RS20980","","",""
"NNL25_RS20995","","","1","1","1","1","613","1","170","","830","830","830","NNL25_RS20995","","",""
"NNL25_RS21010","","","1","1","1","1","612","1","132","","218","218","218","NNL25_RS21010","","",""
"NNL25_RS21015","","","1","1","1","1","611","1","133","","260","260","260","NNL25_RS21015","","",""
"vapC","","","1","1","1","1","610","1","134","","410","410","410","NNL25_RS21020","","",""
"NNL25_RS21025","","","1","1","1","1","624","1","135","","230","230","230","NNL25_RS21025","","",""
"NNL25_RS21035","","","1","1","1","1","623","1","174","","470","470","470","NNL25_RS21035","","",""
"vgrG14","","","1","1","1","1","2552","268","2","","2042","2042","2042","","PA14_43080","",""
"NNL25_RS21045","","","1","1","1","1","621","1","112","","8513","8513","8513","NNL25_RS21045","","",""
"NNL25_RS21050","","","1","1","1","1","789","1","113","","263","263","263","NNL25_RS21050","","",""
"NNL25_RS21055","","","1","1","1","1","790","1","114","","224","224","224","NNL25_RS21055","","",""
"NNL25_RS21060","","","1","1","1","1","791","1","115","","728","728","728","NNL25_RS21060","","",""
"NNL25_RS21065","","","1","1","1","1","792","1","116","","362","362","362","NNL25_RS21065","","",""
"NNL25_RS21070","","","1","1","1","1","793","1","117","","494","494","494","NNL25_RS21070","","",""
"NNL25_RS21075","","","1","1","1","1","794","1","118","","2018","2018","2018","NNL25_RS21075","","",""
"NNL25_RS21080","","","1","1","1","1","795","1","119","","1193","1193","1193","NNL25_RS21080","","",""
"NNL25_RS21085","","","1","1","1","1","796","1","120","","356","356","356","NNL25_RS21085","","",""
"NNL25_RS21090","","","1","1","1","1","797","1","121","","152","152","152","NNL25_RS21090","","",""
"NNL25_RS21905","","","1","1","1","1","3187","53","1","","1205","1205","1205","NNL25_RS21905","","",""
"NNL25_RS21910","","","1","1","1","1","3186","53","2","","239","239","239","NNL25_RS21910","","",""
"NNL25_RS21915","","","1","1","1","1","3185","53","3","","569","569","569","NNL25_RS21915","","",""
"NNL25_RS21940","","","1","1","1","1","3178","35","6","","260","260","260","NNL25_RS21940","","",""
"NNL25_RS22435","","","1","1","1","1","3159","3","29","","1262","1262","1262","NNL25_RS22435","","",""
"NNL25_RS22440","","","1","1","1","1","3158","3","28","","350","350","350","NNL25_RS22440","","",""
"NNL25_RS22445","","","1","1","1","1","3157","3","27","","971","971","971","NNL25_RS22445","","",""
"NNL25_RS22450","","","1","1","1","1","2332","3","26","","218","218","218","NNL25_RS22450","","",""
"NNL25_RS22455","","","1","1","1","1","2333","3","25","","251","251","251","NNL25_RS22455","","",""
"NNL25_RS22475","","","1","1","1","1","1277","3","3","","272","272","272","NNL25_RS22475","","",""
"NNL25_RS22480","","","1","1","1","1","1278","3","2","","1019","1019","1019","NNL25_RS22480","","",""
"NNL25_RS22485","","","1","1","1","1","1279","3","1","","479","479","479","NNL25_RS22485","","",""
"NNL25_RS22540","","","1","1","1","1","1290","109","1","","620","620","620","NNL25_RS22540","","",""
"NNL25_RS24000","","","1","1","1","1","3593","22","4","","452","452","452","NNL25_RS24000","","",""
"group_1186","pilC","","1","1","1","1","3591","22","1","","1220","1220","1220","NNL25_RS24010","","",""
"NNL25_RS24805","","","1","1","1","1","3396","3","7","","410","410","410","NNL25_RS24805","","",""
"PA14_20520","","","1","1","1","1","5455","36","4","","2711","2711","2711","","PA14_20520","",""
"pyoS3A","","","1","1","1","1","2339","267","2","","2375","2375","2375","","PA14_49520","",""
"NNL25_RS24810","","","1","1","1","1","3395","3","8","","1001","1001","1001","NNL25_RS24810","","",""
"NNL25_RS24815","","","1","1","1","1","3394","3","9","","1292","1292","1292","NNL25_RS24815","","",""
"NNL25_RS24830","","","1","1","1","1","3387","3","33","","1304","1304","1304","NNL25_RS24830","","",""
"NNL25_RS24855","","","1","1","1","1","3150","3","51","","215","215","215","NNL25_RS24855","","",""
"NNL25_RS24860","","","1","1","1","1","3151","3","50","","272","272","272","NNL25_RS24860","","",""
"NNL25_RS24865","","","1","1","1","1","3152","3","49","","335","335","335","NNL25_RS24865","","",""
"NNL25_RS24870","","","1","1","1","1","3153","3","48","","1766","1766","1766","NNL25_RS24870","","",""
"NNL25_RS24875","","","1","1","1","1","3154","3","47","","662","662","662","NNL25_RS24875","","",""
"NNL25_RS24880","","","1","1","1","1","3155","3","46","","413","413","413","NNL25_RS24880","","",""
"NNL25_RS26525","","","1","1","1","1","1991","154","1","","197","197","197","NNL25_RS26525","","",""
"NNL25_RS27495","","","1","1","1","1","1375","83","1","","230","230","230","NNL25_RS27495","","",""
"NNL25_RS27500","","","1","1","1","1","1376","83","2","","701","701","701","NNL25_RS27500","","",""
"NNL25_RS27785","","","1","1","1","1","1742","215","1","","131","131","131","NNL25_RS27785","","",""
"PA14_00520","","","1","1","1","1","957","308","1","","122","122","122","","PA14_00520","",""
"tsi6","","","1","1","1","1","940","284","1","","284","284","284","","PA14_01120","",""
"PA14_01130","","","1","1","1","1","939","284","2","","233","233","233","","PA14_01130","",""
"PA14_01200","","","1","1","1","1","938","258","6","","1091","1091","1091","","PA14_01200","",""
"PA14_01220","","","1","1","1","1","1066","258","5","","920","920","920","","PA14_01220","",""
"PA14_01770","","","1","1","1","1","1110","363","1","","848","848","848","","PA14_01770","",""
"PA14_03100","","","1","1","1","1","1218","339","1","","641","641","641","","PA14_03100","",""
"PA14_03163","","","1","1","1","1","931","1","96","","623","623","623","","PA14_03163","",""
"PA14_03166","","","1","1","1","1","930","1","97","","398","398","398","","PA14_03166","",""
"PA14_03250","","","1","1","1","1","1235","1","87","","1616","1616","1616","","PA14_03250","",""
"PA14_03265","","","1","1","1","1","1234","1","86","","749","749","749","","PA14_03265","",""
"PA14_03270","","","1","1","1","1","1","1","85","","3137","3137","3137","","PA14_03270","",""
"PA14_03285","","","1","1","1","1","2","1","84","","1145","1145","1145","","PA14_03285","",""
"PA14_03310","","","1","1","1","1","601","1","78","","1598","1598","1598","","PA14_03310","",""
"PA14_03320","","","1","1","1","1","602","1","77","","1121","1121","1121","","PA14_03320","",""
"PA14_03330","","","1","1","1","1","603","1","76","","866","866","866","","PA14_03330","",""
"PA14_03340","","","1","1","1","1","604","1","75","","926","926","926","","PA14_03340","",""
"PA14_03350","","","1","1","1","1","605","1","74","","953","953","953","","PA14_03350","",""
"PA14_03360","","","1","1","1","1","606","1","73","","770","770","770","","PA14_03360","",""
"PA14_03370","","","1","1","1","1","607","1","72","","998","998","998","","PA14_03370","",""
"PA14_03380","","","1","1","1","1","608","1","71","","1979","1979","1979","","PA14_03380","",""
"PA14_03390","","","1","1","1","1","609","1","70","","509","509","509","","PA14_03390","",""
"PA14_03400","","","1","1","1","1","6868","1","69","","332","332","332","","PA14_03400","",""
"PA14_04710","","","1","1","1","1","1238","299","1","","431","431","431","","PA14_04710","",""
"PA14_07480","","","1","1","1","1","6507","6","18","","1685","1685","1685","","PA14_07480","",""
"PA14_08110","","","1","1","1","1","6444","249","4","","110","110","110","","PA14_08110","",""
"PA14_08300","","","1","1","1","1","1272","7","19","","3659","3659","3659","","PA14_08300","",""
"PA14_08310","","","1","1","1","1","1273","7","18","","1052","1052","1052","","PA14_08310","",""
"PA14_10050","","","1","1","1","1","3848","263","6","","497","497","497","","PA14_10050","",""
"PA14_10070","","","1","1","1","1","3849","263","5","","986","986","986","","PA14_10070","",""
"PA14_10080","","","1","1","1","1","3850","263","4","","377","377","377","","PA14_10080","",""
"PA14_10090","","","1","1","1","1","3851","263","3","","911","911","911","","PA14_10090","",""
"PA14_10110","","","1","1","1","1","3852","263","2","","1184","1184","1184","","PA14_10110","",""
"PA14_10120","","","1","1","1","1","3853","263","1","","929","929","929","","PA14_10120","",""
"PA14_10400","","","1","1","1","1","3854","275","2","","206","206","206","","PA14_10400","",""
"PA14_10410","","","1","1","1","1","3855","275","1","","293","293","293","","PA14_10410","",""
"PA14_10830","","","1","1","1","1","6235","281","1","","875","875","875","","PA14_10830","",""
"PA14_10840","","","1","1","1","1","6234","281","2","","752","752","752","","PA14_10840","",""
"PA14_10960","","","1","1","1","1","6225","271","3","","1112","1112","1112","","PA14_10960","",""
"PA14_10970","","","1","1","1","1","6224","271","2","","965","965","965","","PA14_10970","",""
"PA14_10980","","","1","1","1","1","6222","271","1","","854","854","854","","PA14_10980","",""
"PA14_13200","","","1","1","1","1","6044","274","3","","776","776","776","","PA14_13200","",""
"PA14_13210","","","1","1","1","1","6041","274","2","","182","182","182","","PA14_13210","",""
"PA14_13220","","","1","1","1","1","6042","274","1","","428","428","428","","PA14_13220","",""
"PA14_13860","","","1","1","1","1","5990","255","4","","179","179","179","","PA14_13860","",""
"PA14_13880","","","1","1","1","1","5988","255","6","","95","95","95","","PA14_13880","",""
"PA14_13920","","","1","1","1","1","3871","255","8","","158","158","158","","PA14_13920","",""
"PA14_13960","","","1","1","1","1","3875","255","2","","92","92","92","","PA14_13960","",""
"PA14_13970","","","1","1","1","1","3876","255","1","","263","263","263","","PA14_13970","",""
"PA14_14300","","","1","1","1","1","5961","63","1","","1127","1127","1127","","PA14_14300","",""
"PA14_14310","","","1","1","1","1","5962","63","2","","302","302","302","","PA14_14310","",""
"PA14_14400","","","1","1","1","1","3878","273","3","","134","134","134","","PA14_14400","",""
"PA14_14420","","","1","1","1","1","3877","273","2","","479","479","479","","PA14_14420","",""
"PA14_14540","","","1","1","1","1","5941","34","2","","188","188","188","","PA14_14540","",""
"PA14_14550","","","1","1","1","1","5940","34","3","","407","407","407","","PA14_14550","",""
"PA14_14560","","","1","1","1","1","5935","34","4","","125","125","125","","PA14_14560","",""
"PA14_15350","","","1","1","1","1","5877","251","1","","1202","1202","1202","","PA14_15350","",""
"PA14_15360","","","1","1","1","1","5876","251","2","","980","980","980","","PA14_15360","",""
"PA14_15370","","","1","1","1","1","5875","251","3","","227","227","227","","PA14_15370","",""
"repA","","","1","1","1","1","5874","251","4","","878","878","878","","PA14_15380","",""
"PA14_15400","","","1","1","1","1","5873","251","5","","887","887","887","","PA14_15400","",""
"PA14_15430","","","1","1","1","1","5872","251","6","","560","560","560","","PA14_15430","",""
"PA14_15435","","","1","1","1","1","5871","251","7","","989","989","989","","PA14_15435","",""
"merE","","","1","1","1","1","5870","251","8","","236","236","236","","PA14_15445","",""
"merD","","","1","1","1","1","5869","251","9","","365","365","365","","PA14_15450","",""
"merA","","","1","1","1","1","5868","251","10","","1685","1685","1685","","PA14_15460","",""
"merP","","","1","1","1","1","5867","251","11","","275","275","275","","PA14_15470","",""
"merT","","","1","1","1","1","5848","251","12","","350","350","350","","PA14_15475","",""
"merR","","","1","1","1","1","5849","251","13","","434","434","434","","PA14_15480","",""
"PA14_15490","","","1","1","1","1","5850","251","14","","176","176","176","","PA14_15490","",""
"PA14_15500","","","1","1","1","1","5851","251","15","","287","287","287","","PA14_15500","",""
"traJ","","","1","1","1","1","5852","251","16","","371","371","371","","PA14_15510","",""
"trbJ","","","1","1","1","1","5853","251","17","","785","785","785","","PA14_15520","",""
"PA14_15530","","","1","1","1","1","5854","251","18","","275","275","275","","PA14_15530","",""
"PA14_15540","","","1","1","1","1","5855","251","19","","1622","1622","1622","","PA14_15540","",""
"PA14_15560","","","1","1","1","1","5856","251","20","","308","308","308","","PA14_15560","",""
"PA14_15570","","","1","1","1","1","5857","251","21","","200","200","200","","PA14_15570","",""
"PA14_15580","","","1","1","1","1","5858","251","22","","2780","2780","2780","","PA14_15580","",""
"PA14_15590","","","1","1","1","1","5859","251","23","","2117","2117","2117","","PA14_15590","",""
"PA14_15600","","","1","1","1","1","5860","251","29","","1184","1184","1184","","PA14_15600","",""
"PA14_15610","","","1","1","1","1","5861","251","28","","2606","2606","2606","","PA14_15610","",""
"PA14_16510","","","1","1","1","1","5778","343","1","","998","998","998","","PA14_16510","",""
"PA14_18040","","","1","1","1","1","5651","362","1","","176","176","176","","PA14_18040","",""
"PA14_20510","","","1","1","1","1","5456","36","5","","974","974","974","","PA14_20510","",""
"PA14_20530","","","1","1","1","1","5454","36","3","","476","476","476","","PA14_20530","",""
"PA14_20600","","","1","1","1","1","3909","283","2","","674","674","674","","PA14_20600","",""
"group_1352","lecB","","1","1","1","1","3908","283","1","","347","347","347","","PA14_20610","",""
"PA14_21380","","","1","1","1","1","3912","316","1","","302","302","302","","PA14_21380","",""
"PA14_22080","","","1","1","1","1","5315","253","1","","695","695","695","","PA14_22080","",""
"PA14_22090","","","1","1","1","1","5314","253","2","","1100","1100","1100","","PA14_22090","",""
"PA14_22100","","","1","1","1","1","5313","253","3","","725","725","725","","PA14_22100","",""
"PA14_22110","","","1","1","1","1","5312","253","4","","959","959","959","","PA14_22110","",""
"PA14_22120","","","1","1","1","1","5311","253","5","","2324","2324","2324","","PA14_22120","",""
"PA14_22130","","","1","1","1","1","5310","253","6","","668","668","668","","PA14_22130","",""
"PA14_22140","","","1","1","1","1","5309","253","7","","800","800","800","","PA14_22140","",""
"PA14_22160","","","1","1","1","1","5308","253","8","","506","506","506","","PA14_22160","",""
"PA14_22180","","","1","1","1","1","5307","253","9","","140","140","140","","PA14_22180","",""
"PA14_22190","","","1","1","1","1","5297","253","10","","386","386","386","","PA14_22190","",""
"PA14_22210","","","1","1","1","1","5298","253","11","","335","335","335","","PA14_22210","",""
"PA14_22220","","","1","1","1","1","5299","253","12","","197","197","197","","PA14_22220","",""
"PA14_22230","","","1","1","1","1","5300","253","13","","197","197","197","","PA14_22230","",""
"PA14_22240","","","1","1","1","1","5301","253","14","","401","401","401","","PA14_22240","",""
"PA14_22250","","","1","1","1","1","5302","253","18","","626","626","626","","PA14_22250","",""
"PA14_22260","","","1","1","1","1","5303","253","17","","350","350","350","","PA14_22260","",""
"PA14_22270","","","1","1","1","1","5304","253","16","","1577","1577","1577","","PA14_22270","",""
"PA14_22500","","","1","1","1","1","5280","262","5","","734","734","734","","PA14_22500","",""
"PA14_22510","","","1","1","1","1","5279","262","6","","392","392","392","","PA14_22510","",""
"PA14_22520","","","1","1","1","1","5278","262","4","","1055","1055","1055","","PA14_22520","",""
"PA14_22530","","","1","1","1","1","5277","262","3","","617","617","617","","PA14_22530","",""
"PA14_22540","","","1","1","1","1","5274","262","2","","554","554","554","","PA14_22540","",""
"PA14_22550","","","1","1","1","1","5275","262","1","","812","812","812","","PA14_22550","",""
"orfA","","","1","1","1","1","5196","257","1","","299","299","299","","PA14_23350","",""
"wzz","","","1","1","1","1","5195","257","2","","1082","1082","1082","","PA14_23360","",""
"orfK","","","1","1","1","1","5194","257","3","","1136","1136","1136","","PA14_23370","",""
"orfH","","","1","1","1","1","5193","257","4","","1268","1268","1268","","PA14_23380","",""
"orfE","","","1","1","1","1","5192","257","5","","1262","1262","1262","","PA14_23390","",""
"PA14_23400","","","1","1","1","1","5191","257","6","","1349","1349","1349","","PA14_23400","",""
"orfJ","","","1","1","1","1","5190","257","7","","842","842","842","","PA14_23410","",""
"zbdP","","","1","1","1","1","5189","257","8","","2168","2168","2168","","PA14_23420","",""
"hepP","","","1","1","1","1","5188","257","9","","1652","1652","1652","","PA14_23430","",""
"orfL","","","1","1","1","1","5187","257","12","","1112","1112","1112","","PA14_23440","",""
"orfM","","","1","1","1","1","5186","257","11","","953","953","953","","PA14_23450","",""
"orfN","","","1","1","1","1","5185","257","10","","1016","1016","1016","","PA14_23460","",""
"PA14_23490","","","1","1","1","1","5150","305","1","","72","72","72","","PA14_23490","",""
"PA14_60180","","","1","1","1","1","3542","1","3","","72","72","72","","PA14_60180","",""
"PA14_24360","","","1","1","1","1","3914","357","1","","2924","2924","2924","","PA14_24360","",""
"PA14_26920","","","1","1","1","1","4872","293","1","","956","956","956","","PA14_26920","",""
"PA14_27440","","","1","1","1","1","3918","323","1","","965","965","965","","PA14_27440","",""
"PA14_27610","","","1","1","1","1","3919","10","14","","72","72","72","","PA14_27610","",""
"PA14_27620","","","1","1","1","1","3920","10","13","","72","72","72","","PA14_27620","",""
"PA14_30680","","","1","1","1","1","4493","285","1","","72","72","72","","PA14_30680","",""
"PA14_28230","","","1","1","1","1","3925","25","6","","170","170","170","","PA14_28230","",""
"PA14_28240","","","1","1","1","1","3924","25","7","","224","224","224","","PA14_28240","",""
"PA14_28250","","","1","1","1","1","3927","25","8","","1139","1139","1139","","PA14_28250","",""
"PA14_28330","","","1","1","1","1","4746","355","1","","95","95","95","","PA14_28330","",""
"PA14_28750","","","1","1","1","1","4705","4","89","","374","374","374","","PA14_28750","",""
"PA14_28760","","","1","1","1","1","4704","4","90","","614","614","614","","PA14_28760","",""
"PA14_28770","","","1","1","1","1","4703","4","91","","1643","1643","1643","","PA14_28770","",""
"PA14_28780","","","1","1","1","1","4702","4","92","","284","284","284","","PA14_28780","",""
"PA14_28790","","","1","1","1","1","4701","4","8","","161","161","161","","PA14_28790","",""
"PA14_28800","","","1","1","1","1","4700","4","7","","995","995","995","","PA14_28800","",""
"PA14_28810","","","1","1","1","1","4699","4","6","","5123","5123","5123","","PA14_28810","",""
"PA14_28820","","","1","1","1","1","4698","4","5","","2498","2498","2498","","PA14_28820","",""
"PA14_28830","","","1","1","1","1","4697","4","4","","1295","1295","1295","","PA14_28830","",""
"PA14_28840","","","1","1","1","1","4696","4","3","","2210","2210","2210","","PA14_28840","",""
"PA14_28850","","","1","1","1","1","4695","4","2","","314","314","314","","PA14_28850","",""
"PA14_28870","","","1","1","1","1","4694","4","1","","296","296","296","","PA14_28870","",""
"PA14_28970","","","1","1","1","1","4645","286","2","","539","539","539","","PA14_28970","",""
"PA14_28980","","","1","1","1","1","4643","286","1","","950","950","950","","PA14_28980","",""
"PA14_29330","","","1","1","1","1","3977","346","1","","992","992","992","","PA14_29330","",""
"group_1417","nuoF","","1","1","1","1","4561","353","1","","1349","1349","1349","","PA14_29970","",""
"PA14_30690","","","1","1","1","1","4060","285","2","","1055","1055","1055","","PA14_30690","",""
"PA14_30850","","","1","1","1","1","4478","250","39","","1271","1271","1271","","PA14_30850","",""
"PA14_30860","","","1","1","1","1","4477","250","38","","989","989","989","","PA14_30860","",""
"PA14_30870","","","1","1","1","1","4476","250","37","","704","704","704","","PA14_30870","",""
"PA14_30880","","","1","1","1","1","4475","250","36","","1370","1370","1370","","PA14_30880","",""
"PA14_30890","","","1","1","1","1","4474","250","35","","143","143","143","","PA14_30890","",""
"PA14_30900","","","1","1","1","1","4473","250","34","","725","725","725","","PA14_30900","",""
"PA14_30910","","","1","1","1","1","4472","250","33","","2453","2453","2453","","PA14_30910","",""
"PA14_30930","","","1","1","1","1","4471","250","32","","392","392","392","","PA14_30930","",""
"PA14_30940","","","1","1","1","1","4470","250","31","","1070","1070","1070","","PA14_30940","",""
"PA14_30950","","","1","1","1","1","4469","250","30","","464","464","464","","PA14_30950","",""
"PA14_30960","","","1","1","1","1","4468","250","29","","2000","2000","2000","","PA14_30960","",""
"PA14_30970","","","1","1","1","1","4467","250","28","","995","995","995","","PA14_30970","",""
"PA14_30980","","","1","1","1","1","4466","250","27","","305","305","305","","PA14_30980","",""
"PA14_30990","","","1","1","1","1","4465","250","26","","668","668","668","","PA14_30990","",""
"PA14_31000","","","1","1","1","1","4464","250","25","","743","743","743","","PA14_31000","",""
"PA14_31010","","","1","1","1","1","4463","250","24","","3137","3137","3137","","PA14_31010","",""
"PA14_31030","","","1","1","1","1","4462","250","23","","1229","1229","1229","","PA14_31030","",""
"PA14_31040","","","1","1","1","1","4438","250","22","","1247","1247","1247","","PA14_31040","",""
"PA14_31050","","","1","1","1","1","4439","250","21","","998","998","998","","PA14_31050","",""
"PA14_31060","","","1","1","1","1","4440","250","20","","617","617","617","","PA14_31060","",""
"PA14_31070","","","1","1","1","1","4441","250","19","","2360","2360","2360","","PA14_31070","",""
"PA14_31080","","","1","1","1","1","4442","250","18","","575","575","575","","PA14_31080","",""
"PA14_31090","","","1","1","1","1","4443","250","17","","917","917","917","","PA14_31090","",""
"PA14_31100","","","1","1","1","1","4444","250","16","","638","638","638","","PA14_31100","",""
"PA14_31110","","","1","1","1","1","4445","250","15","","1328","1328","1328","","PA14_31110","",""
"PA14_31130","","","1","1","1","1","4446","250","14","","770","770","770","","PA14_31130","",""
"PA14_31150","","","1","1","1","1","4447","250","13","","401","401","401","","PA14_31150","",""
"PA14_31160","","","1","1","1","1","4448","250","12","","323","323","323","","PA14_31160","",""
"PA14_31170","","","1","1","1","1","4449","250","11","","107","107","107","","PA14_31170","",""
"PA14_31180","","","1","1","1","1","4450","250","10","","1061","1061","1061","","PA14_31180","",""
"PA14_31190","","","1","1","1","1","4451","250","9","","2054","2054","2054","","PA14_31190","",""
"PA14_31200","","","1","1","1","1","4452","250","8","","824","824","824","","PA14_31200","",""
"PA14_31220","","","1","1","1","1","4453","250","7","","278","278","278","","PA14_31220","",""
"PA14_31230","","","1","1","1","1","4454","250","6","","527","527","527","","PA14_31230","",""
"PA14_31240","","","1","1","1","1","4455","250","5","","1310","1310","1310","","PA14_31240","",""
"PA14_31250","","","1","1","1","1","4456","250","4","","392","392","392","","PA14_31250","",""
"PA14_31260","","","1","1","1","1","4457","250","3","","506","506","506","","PA14_31260","",""
"PA14_31270","","","1","1","1","1","4458","250","2","","1163","1163","1163","","PA14_31270","",""
"PA14_31280","","","1","1","1","1","4459","250","1","","1205","1205","1205","","PA14_31280","",""
"PA14_32840","","","1","1","1","1","4301","8","2","","953","953","953","","PA14_32840","",""
"PA14_32850","","","1","1","1","1","4300","8","1","","1016","1016","1016","","PA14_32850","",""
"PA14_33060","","","1","1","1","1","4067","317","1","","971","971","971","","PA14_33060","",""
"PA14_33360","","","1","1","1","1","4254","14","3","","1394","1394","1394","","PA14_33360","",""
"tpe2","","","1","1","1","1","4197","269","3","","1067","1067","1067","","PA14_33970","",""
"tsd2","","","1","1","1","1","4192","269","4","","533","533","533","","PA14_33980","",""
"group_1470","pslO","","1","1","1","1","32","298","1","","305","305","305","","PA14_35550","",""
"PA14_35700","","","1","1","1","1","48","2","10","","704","704","704","","PA14_35700","",""
"PA14_35710","","","1","1","1","1","49","2","11","","344","344","344","","PA14_35710","",""
"PA14_35720","","","1","1","1","1","50","2","12","","401","401","401","","PA14_35720","",""
"PA14_35730","","","1","1","1","1","51","2","13","","374","374","374","","PA14_35730","",""
"PA14_35740","","","1","1","1","1","52","2","14","","3014","3014","3014","","PA14_35740","",""
"PA14_35750","","","1","1","1","1","53","2","15","","362","362","362","","PA14_35750","",""
"PA14_35760","","","1","1","1","1","54","2","16","","464","464","464","","PA14_35760","",""
"PA14_35770","","","1","1","1","1","55","2","17","","905","905","905","","PA14_35770","",""
"PA14_35780","","","1","1","1","1","56","2","18","","728","728","728","","PA14_35780","",""
"PA14_35790","","","1","1","1","1","57","2","19","","1409","1409","1409","","PA14_35790","",""
"PA14_35800","","","1","1","1","1","58","2","20","","1316","1316","1316","","PA14_35800","",""
"PA14_35810","","","1","1","1","1","59","2","21","","710","710","710","","PA14_35810","",""
"tnpS","","","1","1","1","1","60","2","22","","971","971","971","","PA14_35820","",""
"tnpT","","","1","1","1","1","61","2","23","","998","998","998","","PA14_35830","",""
"PA14_35840","","","1","1","1","1","62","2","24","","644","644","644","","PA14_35840","",""
"PA14_35850","","","1","1","1","1","63","2","25","","479","479","479","","PA14_35850","",""
"PA14_35930","","","1","1","1","1","83","2","31","","98","98","98","","PA14_35930","",""
"PA14_36260","","","1","1","1","1","18","297","1","","1595","1595","1595","","PA14_36260","",""
"PA14_36360","","","1","1","1","1","154","331","1","","422","422","422","","PA14_36360","",""
"PA14_36400","","","1","1","1","1","159","306","1","","320","320","320","","PA14_36400","",""
"PA14_36470","","","1","1","1","1","14","47","1","","308","308","308","","PA14_36470","",""
"PA14_36560","","","1","1","1","1","172","345","1","","365","365","365","","PA14_36560","",""
"PA14_37170","","","1","1","1","1","12","359","1","","1112","1112","1112","","PA14_37170","",""
"PA14_38000","","","1","1","1","1","10","320","1","","464","464","464","","PA14_38000","",""
"PA14_39470","","","1","1","1","1","6","278","2","","776","776","776","","PA14_39470","",""
"PA14_39480","","","1","1","1","1","5","278","1","","2153","2153","2153","","PA14_39480","",""
"PA14_39670","","","1","1","1","1","582","352","1","","122","122","122","","PA14_39670","",""
"PA14_40020","","","1","1","1","1","555","354","1","","1274","1274","1274","","PA14_40020","",""
"PA14_40260","","","1","1","1","1","418","330","1","","7370","7370","7370","","PA14_40260","",""
"PA14_40470","","","1","1","1","1","514","364","1","","1454","1454","1454","","PA14_40470","",""
"PA14_40750","","","1","1","1","1","420","84","1","","155","155","155","","PA14_40750","",""
"PA14_41290","","","1","1","1","1","421","50","1","","116","116","116","","PA14_41290","",""
"PA14_41330","","","1","1","1","1","422","349","1","","72","72","72","","PA14_41330","",""
"tap","","","1","1","1","1","2550","268","4","","740","740","740","","PA14_43090","",""
"rhsP2","","","1","1","1","1","2551","268","3","","4844","4844","4844","","PA14_43100","",""
"PA14_44920","","","1","1","1","1","2813","266","3","","1142","1142","1142","","PA14_44920","",""
"PA14_46390","","","1","1","1","1","3025","9","5","","254","254","254","","PA14_46390","",""
"PA14_46460","","","1","1","1","1","2967","287","1","","1190","1190","1190","","PA14_46460","",""
"PA14_46510","","","1","1","1","1","3017","256","1","","1358","1358","1358","","PA14_46510","",""
"PA14_46520","","","1","1","1","1","3016","256","2","","1139","1139","1139","","PA14_46520","",""
"PA14_46530","","","1","1","1","1","3015","256","3","","425","425","425","","PA14_46530","",""
"PA14_46540","","","1","1","1","1","2968","256","4","","1700","1700","1700","","PA14_46540","",""
"PA14_46550","","","1","1","1","1","2969","256","5","","728","728","728","","PA14_46550","",""
"PA14_46560","","","1","1","1","1","2970","256","6","","401","401","401","","PA14_46560","",""
"PA14_46570","","","1","1","1","1","2971","256","7","","617","617","617","","PA14_46570","",""
"PA14_46580","","","1","1","1","1","2972","256","8","","1115","1115","1115","","PA14_46580","",""
"PA14_46590","","","1","1","1","1","2973","256","12","","3089","3089","3089","","PA14_46590","",""
"PA14_46600","","","1","1","1","1","2974","256","11","","806","806","806","","PA14_46600","",""
"PA14_46610","","","1","1","1","1","2975","256","10","","473","473","473","","PA14_46610","",""
"PA14_46620","","","1","1","1","1","2976","256","9","","1280","1280","1280","","PA14_46620","",""
"PA14_48230","","","1","1","1","1","3092","31","1","","101","101","101","","PA14_48230","",""
"PA14_48440","","","1","1","1","1","2496","260","1","","605","605","605","","PA14_48440","",""
"PA14_48450","","","1","1","1","1","2495","260","2","","1118","1118","1118","","PA14_48450","",""
"PA14_48460","","","1","1","1","1","2494","260","7","","1112","1112","1112","","PA14_48460","",""
"PA14_48470","","","1","1","1","1","3109","260","6","","911","911","911","","PA14_48470","",""
"PA14_48490","","","1","1","1","1","3110","260","5","","1040","1040","1040","","PA14_48490","",""
"PA14_48500","","","1","1","1","1","3111","260","4","","887","887","887","","PA14_48500","",""
"PA14_48510","","","1","1","1","1","3112","260","3","","335","335","335","","PA14_48510","",""
"PA14_48880","","","1","1","1","1","2493","3","34","","1016","1016","1016","","PA14_48880","",""
"PA14_48890","","","1","1","1","1","2492","3","35","","1298","1298","1298","","PA14_48890","",""
"PA14_48900","","","1","1","1","1","3390","3","36","","101","101","101","","PA14_48900","",""
